,"Matthew 1:1 The book of the generation of Jesus Christ, the son of David, the son of Abraham.","Mattheus 1:1 DIE geslagsregister van Jesus Christus, die seun van Dawid, die seun van Abraham:"
,"Matthew 2:16 Then Herod, when he saw that he was mocked of the wise men, was exceeding wroth, and sent forth, and slew all the children that were in Bethlehem, and in all the coasts thereof, from two years old and under, according to the time which he had diligently enquired of the wise men.","Mattheus 2:16 Toe Herodes sien dat hy deur die wyse manne mislei was, het hy baie woedend geword en gestuur en in Betlehem en in al die omstreke daarvan al die seuntjies van twee jaar en daaronder laat ombring, ooreenkomstig die tyd wat hy van die wyse manne uitgevra het."
,"Matthew 2:17 Then was fulfilled that which was spoken by Jeremy the prophet, saying,","Mattheus 2:17 Toe is vervul wat deur Jeremia, die profeet, gespreek is toe hy gesê het:"
af:p,"Matthew 2:18 In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping [for] her children, and would not be comforted, because they are not.","Mattheus 2:18 ’n Stem is in Rama gehoor: rouklag en geween en groot gekerm; Ragel beween haar kinders en wil nie vertroos word nie, omdat hulle daar nie meer is nie."
,"Matthew 2:19 But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,",Mattheus 2:19 EN ná die dood van Herodes het daar ’n engel van die Here in ’n droom aan Josef in Egipte verskyn
,"Matthew 2:20 Saying, Arise, and take the young child and his mother, and go into the land of Israel: for they are dead which sought the young child's life.","Mattheus 2:20 en gesê: Staan op, neem die Kindjie en sy moeder, en gaan na die land van Israel; want hulle is dood wat die lewe van die Kindjie gesoek het."
,"Matthew 2:21 And he arose, and took the young child and his mother, and came into the land of Israel.","Mattheus 2:21 En hy het opgestaan, die Kindjie en sy moeder geneem en in die land van Israel gekom."
,"Matthew 2:22 But when he heard that Archelaus did reign in Judaea in the room of his father Herod, he was afraid to go thither: notwithstanding, being warned of God in a dream, he turned aside into the parts of Galilee:","Mattheus 2:22 Maar toe hy hoor dat Archeláüs oor Judéa koning was in die plek van sy vader Herodes, was hy bevrees om daarheen te gaan. En hy het ’n goddelike waarskuwing in ’n droom ontvang en na die streke van Galiléa teruggekeer."
,"Matthew 2:23 And he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the prophets, He shall be called a Nazarene.","Mattheus 2:23 En hy het gaan woon in ’n stad met die naam van Násaret, sodat vervul sou word wat deur die profete gespreek is, dat Hy Nasaréner genoem sou word."
,"Matthew 3:1 In those days came John the Baptist, preaching in the wilderness of Judaea,",Mattheus 3:1 IN daardie dae het Johannes die Doper opgetree en in die woestyn van Judéa
,"Matthew 3:2 And saying, Repent ye: for the kingdom of heaven is at hand.","Mattheus 3:2 gepreek en gesê: Bekeer julle, want die koninkryk van die hemele het naby gekom."
,"Matthew 3:3 For this is he that was spoken of by the prophet Esaias, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.","Mattheus 3:3 Want dit is hy van wie deur die profeet Jesaja gespreek is toe hy gesê het: Die stem van een wat roep in die woestyn: Berei die weg van die Here, maak sy paaie reguit!"
,"Matthew 3:4 And the same John had his raiment of camel's hair, and a leathern girdle about his loins; and his meat was locusts and wild honey.","Mattheus 3:4 En hy, Johannes, het ’n kleed gedra van kameelhare en ’n leergord om sy heupe, en sy voedsel was sprinkane en wilde heuning."
,"Matthew 3:5 Then went out to him Jerusalem, and all Judaea, and all the region round about Jordan,",Mattheus 3:5 En Jerusalem en die hele Judéa en die hele omtrek van die Jordaan het uitgegaan na hom toe.
,"Matthew 3:6 And were baptized of him in Jordan, confessing their sins.",Mattheus 3:6 En hulle is deur hom in die Jordaan gedoop met belydenis van hulle sondes.
,"Matthew 3:7 But when he saw many of the Pharisees and Sadducees come to his baptism, he said unto them, O generation of vipers, who hath warned you to flee from the wrath to come?","Mattheus 3:7 Maar toe hy baie van die Fariseërs en Sadduseërs na sy doop sien kom, sê hy vir hulle: Addergeslag, wie het julle aangewys om te vlug vir die toorn wat aan kom is?"
,Matthew 3:8 Bring forth therefore fruits meet for repentance:,Mattheus 3:8 Dra dan vrugte wat by die bekering pas.
,"Matthew 3:9 And think not to say within yourselves, We have Abraham to [our] father: for I say unto you, that God is able of these stones to raise up children unto Abraham.",Mattheus 3:9 En moenie dink om by julleself te sê: ons het Abraham as vader nie; want ek sê vir julle dat God mag het om uit hierdie klippe kinders vir Abraham op te wek.
,"Matthew 3:10 And now also the axe is laid unto the root of the trees: therefore every tree which bringeth not forth good fruit is hewn down, and cast into the fire.","Mattheus 3:10 Maar die byl lê ook al teen die wortel van die bome. Elke boom wat geen goeie vrugte dra nie, word uitgekap en in die vuur gegooi."
,"Matthew 3:11 I indeed baptize you with water unto repentance: but he that cometh after me is mightier than I, whose shoes I am not worthy to bear: he shall baptize you with the Holy Ghost, and [with] fire:","Mattheus 3:11 Ek doop julle wel met water tot bekering; maar Hy wat ná my kom, is sterker as ek, wie se skoene ek nie waardig is om aan te dra nie. Hy sal julle doop met die Heilige Gees en met vuur."
,"Matthew 3:12 Whose fan [is] in his hand, and he will throughly purge his floor, and gather his wheat into the garner; but he will burn up the chaff with unquenchable fire.","Mattheus 3:12 Sy skop is in sy hand, en Hy sal sy dorsvloer deur en deur skoonmaak en sy koring in die skuur saambring, maar die kaf sal Hy met onuitbluslike vuur verbrand."
,"Matthew 3:13 Then cometh Jesus from Galilee to Jordan unto John, to be baptized of him.","Mattheus 3:13 TOE het Jesus van Galiléa na die Jordaan, na Johannes gekom om deur hom gedoop te word."
,"Matthew 3:14 But John forbad him, saying, I have need to be baptized of thee, and comest thou to me?","Mattheus 3:14 Maar Johannes het Hom ernstig teëgegaan en gesê: Ek het nodig om deur U gedoop te word, en kom U na my toe?"
,"Matthew 3:15 And Jesus answering said unto him, Suffer [it to be so] now: for thus it becometh us to fulfil all righteousness. Then he suffered him.","Mattheus 3:15 Maar Jesus het geantwoord en vir hom gesê: Laat dit nou toe, want só pas dit ons om alle geregtigheid te vervul. Daarna het hy Hom toegelaat."
,"Matthew 3:16 And Jesus, when he was baptized, went up straightway out of the water: and, lo, the heavens were opened unto him, and he saw the Spirit of God descending like a dove, and lighting upon him:","Mattheus 3:16 En nadat Jesus gedoop was, het Hy dadelik uit die water opgeklim, en meteens gaan die hemele vir Hom oop, en Hy sien die Gees van God soos ’n duif neerdaal en op Hom kom."
,"Matthew 3:17 And lo a voice from heaven, saying, This is my beloved Son, in whom I am well pleased.",Mattheus 3:17 En daar kom ’n stem uit die hemele wat sê: Dit is my geliefde Seun in wie Ek ’n welbehae het.
,Matthew 4:1 Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil.,Mattheus 4:1 TOE is Jesus deur die Gees weggelei die woestyn in om versoek te word deur die duiwel.
,"Matthew 4:2 And when he had fasted forty days and forty nights, he was afterward an hungred.","Mattheus 4:2 En nadat Hy veertig dae en veertig nagte gevas het, het Hy naderhand honger geword."
,"Matthew 4:3 And when the tempter came to him, he said, If thou be the Son of God, command that these stones be made bread.","Mattheus 4:3 En die versoeker het na Hom gekom en gesê: As U die Seun van God is, sê dat hierdie klippe brode word."
,"Matthew 4:4 But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.","Mattheus 4:4 Maar Hy antwoord en sê: Daar is geskrywe: Die mens sal nie van brood alleen lewe nie, maar van elke woord wat deur die mond van God uitgaan."
af:p,"Matthew 4:5 Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple,",Mattheus 4:5 Toe neem die duiwel Hom saam na die heilige stad en laat Hom op die dak van die tempel staan
,"Matthew 4:6 And saith unto him, If thou be the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and in [their] hands they shall bear thee up, lest at any time thou dash thy foot against a stone.","Mattheus 4:6 en sê vir Hom: As U die Seun van God is, werp Uself af; want daar is geskrywe: Hy sal sy engele bevel gee aangaande U, en hulle sal U op die hande dra, sodat U nie miskien u voet teen ’n klip stamp nie."
,"Matthew 4:7 Jesus said unto him, It is written again, Thou shalt not tempt the Lord thy God.",Mattheus 4:7 Jesus sê vir hom: Daar is óók geskrywe: Jy mag die Here jou God nie versoek nie.
,"Matthew 4:8 Again, the devil taketh him up into an exceeding high mountain, and sheweth him all the kingdoms of the world, and the glory of them;","Mattheus 4:8 Weer neem die duiwel Hom saam na ’n baie hoë berg en wys Hom al die koninkryke van die wêreld en hulle heerlikheid,"
,"Matthew 4:9 And saith unto him, All these things will I give thee, if thou wilt fall down and worship me.",Mattheus 4:9 en sê vir Hom: Al hierdie dinge sal ek aan U gee as U neerval en my aanbid.
af:p,"Matthew 4:10 Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.","Mattheus 4:10 Toe sê Jesus vir hom: Gaan weg, Satan! want daar is geskrywe: Die Here jou God moet jy aanbid en Hom alleen dien."
,"Matthew 4:11 Then the devil leaveth him, and, behold, angels came and ministered unto him.","Mattheus 4:11 Daarna het die duiwel Hom laat staan, en daar het engele gekom en Hom gedien."
,"Matthew 4:12 Now when Jesus had heard that John was cast into prison, he departed into Galilee;","Mattheus 4:12 EN toe Jesus hoor dat Johannes in die gevangenis gesit was, het Hy na Galiléa teruggegaan."
,"Matthew 4:13 And leaving Nazareth, he came and dwelt in Capernaum, which is upon the sea coast, in the borders of Zabulon and Nephthalim:","Mattheus 4:13 En Hy het Násaret verlaat en gaan woon in Kapérnaüm aan die see, in die gebied van Sébulon en Náftali,"
,"Matthew 4:14 That it might be fulfilled which was spoken by Esaias the prophet, saying,","Mattheus 4:14 sodat vervul sou word wat gespreek is deur Jesaja, die profeet, toe hy gesê het:"
,"Matthew 4:15 The land of Zabulon, and the land of Nephthalim, [by] the way of the sea, beyond Jordan, Galilee of the Gentiles;","Mattheus 4:15 Die land Sébulon en die land Náftali, na die see toe, oorkant die Jordaan, Galiléa van die heidene —"
,Matthew 4:16 The people which sat in darkness saw great light; and to them which sat in the region and shadow of death light is sprung up.,"Mattheus 4:16 die volk wat in duisternis sit, het ’n groot lig gesien, en die wat sit in die land en skaduwee van die dood, vir hulle het ’n lig opgegaan."
,"Matthew 4:17 From that time Jesus began to preach, and to say, Repent: for the kingdom of heaven is at hand.","Mattheus 4:17 Van toe af het Jesus begin om te preek en te sê: Bekeer julle, want die koninkryk van die hemele het naby gekom."
,"Matthew 4:18 And Jesus, walking by the sea of Galilee, saw two brethren, Simon called Peter, and Andrew his brother, casting a net into the sea: for they were fishers.","Mattheus 4:18 En terwyl Jesus langs die see van Galiléa loop, sien Hy twee broers, Simon wat genoem word Petrus, en Andréas, sy broer, besig om ’n net in die see uit te gooi; want hulle was vissers."
,"Matthew 4:19 And he saith unto them, Follow me, and I will make you fishers of men.","Mattheus 4:19 En Hy sê vir hulle: Kom agter My aan, en Ek sal julle vissers van mense maak."
,"Matthew 4:20 And they straightway left [their] nets, and followed him.",Mattheus 4:20 En hulle het dadelik die nette laat staan en Hom gevolg.
,"Matthew 4:21 And going on from thence, he saw other two brethren, James [the son] of Zebedee, and John his brother, in a ship with Zebedee their father, mending their nets; and he called them.","Mattheus 4:21 En toe Hy daarvandaan verder gaan, sien Hy twee ander broers, Jakobus, die seun van Sebedéüs, en Johannes, sy broer, in die skuit saam met hulle vader Sebedéüs, besig om hulle nette heel te maak; en Hy het hulle geroep."
,"Matthew 4:22 And they immediately left the ship and their father, and followed him.",Mattheus 4:22 En hulle het dadelik die skuit en hulle vader verlaat en Hom gevolg.
,"Matthew 4:23 And Jesus went about all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom, and healing all manner of sickness and all manner of disease among the people.",Mattheus 4:23 En Jesus het deur die hele Galiléa rondgegaan en in hulle sinagoges geleer en die evangelie van die koninkryk verkondig en elke siekte en elke kwaal onder die volk genees.
,"Matthew 4:24 And his fame went throughout all Syria: and they brought unto him all sick people that were taken with divers diseases and torments, and those which were possessed with devils, and those which were lunatick, and those that had the palsy; and he healed them.","Mattheus 4:24 En die gerug aangaande Hom is versprei oor die hele Sírië; en hulle het na Hom gebring almal wat ongesteld was, wat gekwel was deur allerhande siektes en pyne en wat van duiwels besete was, en maansiekes en verlamdes; en Hy het hulle gesond gemaak."
,"Matthew 4:25 And there followed him great multitudes of people from Galilee, and [from] Decapolis, and [from] Jerusalem, and [from] Judaea, and [from] beyond Jordan.",Mattheus 4:25 En groot menigtes het Hom gevolg van Galiléa en Dekápolis en Jerusalem en Judéa en van oorkant die Jordaan af.
,"Matthew 5:1 And seeing the multitudes, he went up into a mountain: and when he was set, his disciples came unto him:","Mattheus 5:1 EN toe Hy die skare sien, het Hy op die berg geklim; en nadat Hy gaan sit het, het sy dissipels na Hom gekom;"
,"Matthew 5:2 And he opened his mouth, and taught them, saying,",Mattheus 5:2 en Hy het sy mond geopen en hulle geleer en gesê:
,Matthew 5:3 Blessed [are] the poor in spirit: for theirs is the kingdom of heaven.,"Mattheus 5:3 Salig is die wat arm van gees is, want aan hulle behoort die koninkryk van die hemele."
,Matthew 5:4 Blessed [are] they that mourn: for they shall be comforted.,"Mattheus 5:4 Salig is die wat treur, want hulle sal vertroos word."
,Matthew 5:5 Blessed [are] the meek: for they shall inherit the earth.,"Mattheus 5:5 Salig is die sagmoediges, want hulle sal die aarde beërwe."
,Matthew 5:6 Blessed [are] they which do hunger and thirst after righteousness: for they shall be filled.,"Mattheus 5:6 Salig is die wat honger en dors na die geregtigheid, want hulle sal versadig word."
,Matthew 5:7 Blessed [are] the merciful: for they shall obtain mercy.,"Mattheus 5:7 Salig is die barmhartiges, want aan hulle sal barmhartigheid bewys word."
,Matthew 5:8 Blessed [are] the pure in heart: for they shall see God.,"Mattheus 5:8 Salig is die wat rein van hart is, want hulle sal God sien."
,Matthew 5:9 Blessed [are] the peacemakers: for they shall be called the children of God.,"Mattheus 5:9 Salig is die vredemakers, want hulle sal kinders van God genoem word."
,Matthew 5:10 Blessed [are] they which are persecuted for righteousness' sake: for theirs is the kingdom of heaven.,"Mattheus 5:10 Salig is die wat vervolg word ter wille van die geregtigheid, want aan hulle behoort die koninkryk van die hemele."
,"Matthew 5:11 Blessed are ye, when [men] shall revile you, and persecute [you], and shall say all manner of evil against you falsely, for my sake.",Mattheus 5:11 Salig is julle wanneer die mense julle beledig en vervolg en valslik allerhande kwaad teen julle spreek om My ontwil.
,"Matthew 5:12 Rejoice, and be exceeding glad: for great [is] your reward in heaven: for so persecuted they the prophets which were before you.",Mattheus 5:12 Verbly en verheug julle omdat julle loon groot is in die hemele; want so het hulle die profete vervolg wat voor julle gewees het.
en:p,"Matthew 5:13 Ye are the salt of the earth: but if the salt have lost his savour, wherewith shall it be salted? it is thenceforth good for nothing, but to be cast out, and to be trodden under foot of men.","Mattheus 5:13 JULLE is die sout van die aarde, maar as die sout laf geword het, waarmee sal dit gesout word? Dit deug nêrens meer voor as om buite gegooi en deur die mense vertrap te word nie."
en:p,Matthew 5:14 Ye are the light of the world. A city that is set on an hill cannot be hid.,"Mattheus 5:14 Julle is die lig van die wêreld. ’n Stad wat bo-op ’n berg lê, kan nie weggesteek word nie;"
,"Matthew 5:15 Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house.","Mattheus 5:15 en ’n mens steek ook nie ’n lamp op en sit dit onder die maatemmer nie, maar op die staander, en dit skyn vir almal wat in die huis is."
,"Matthew 5:16 Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.","Mattheus 5:16 Laat julle lig só skyn voor die mense, dat hulle julle goeie werke kan sien en julle Vader wat in die hemele is, verheerlik."
,"Matthew 5:17 Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil.","Mattheus 5:17 MOENIE dink dat Ek gekom het om die wet of die profete te ontbind nie. Ek het nie gekom om te ontbind nie, maar om te vervul."
,"Matthew 5:18 For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled.","Mattheus 5:18 Want voorwaar Ek sê vir julle, voordat die hemel en die aarde verbygaan, sal nie een jota of een titteltjie van die wet ooit verbygaan totdat alles gebeur het nie."
en:p,"Matthew 5:19 Whosoever therefore shall break one of these least commandments, and shall teach men so, he shall be called the least in the kingdom of heaven: but whosoever shall do and teach [them], the same shall be called great in the kingdom of heaven.","Mattheus 5:19 Elkeen dus wat een van die minste van hierdie gebooie breek en die mense só leer, sal die minste genoem word in die koninkryk van die hemele; maar elkeen wat dit doen en leer, hy sal groot genoem word in die koninkryk van die hemele."
,"Matthew 5:20 For I say unto you, That except your righteousness shall exceed [the righteousness] of the scribes and Pharisees, ye shall in no case enter into the kingdom of heaven.","Mattheus 5:20 Want Ek sê vir julle dat, as julle geregtigheid nie oorvloediger is as dié van die skrifgeleerdes en Fariseërs nie, julle nooit in die koninkryk van die hemele sal ingaan nie."
,"Matthew 5:21 Ye have heard that it was said by them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment:","Mattheus 5:21 Julle het gehoor dat aan die mense van die ou tyd gesê is: Jy mag nie doodslaan nie, maar elkeen wat doodslaan, moet verantwoording doen voor die gereg."
,"Matthew 5:22 But I say unto you, That whosoever is angry with his brother without a cause shall be in danger of the judgment: and whosoever shall say to his brother, Raca, shall be in danger of the council: but whosoever shall say, Thou fool, shall be in danger of hell fire.","Mattheus 5:22 Maar Ek sê vir julle dat elkeen wat vir sy broeder sonder rede kwaad is, verantwoording moet doen voor die gereg; en elkeen wat vir sy broeder sê: Raka! moet verantwoording doen voor die Groot Raad; en elkeen wat sê: Jou dwaas! moet verantwoording doen in die helse vuur."
,"Matthew 5:23 Therefore if thou bring thy gift to the altar, and there rememberest that thy brother hath ought against thee;","Mattheus 5:23 As jy dan jou gawe na die altaar bring en dit jou daar byval dat jou broeder iets teen jou het,"
,"Matthew 5:24 Leave there thy gift before the altar, and go thy way; first be reconciled to thy brother, and then come and offer thy gift.","Mattheus 5:24 laat jou gawe daar voor die altaar bly en gaan versoen jou eers met jou broeder, en kom dan en bring jou gawe."
